qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
7711,997,842,5,10,12,65011,64874,
7712,997,844,15,16,13,64967,64979,
7713,997,4,1,14,14,64965,65058,
7714,997,840,3,18,15,65264,65286,
7715,997,838,1,2,16,65271,,
7716,997,815,10,11,17,65279,,
7717,997,845,3,35,18,65322,,
7718,997,843,5,28,19,65366,,
7719,997,828,15,9,20,65479,,
7720,998,1,131,44,1,86818,86256,85892
7721,998,20,6,5,2,86585,86372,85936
7722,998,8,6,7,3,87549,86483,85990
7723,998,822,131,77,4,87025,86413,86217
7724,998,830,9,33,5,87309,87013,86602
7725,998,817,9,3,6,87979,87369,87099
7726,998,825,210,20,7,88143,87730,87244
7727,998,154,210,8,8,88086,87522,87455
7728,998,844,15,16,9,87962,87790,87879
7729,998,839,10,31,10,88279,87843,88194
7730,998,807,4,27,11,88017,87901,
7731,998,815,10,11,12,88210,87928,
7732,998,4,1,14,13,88187,88139,
7733,998,842,5,10,14,88399,88343,
7734,998,828,15,9,15,88249,88391,
7735,998,832,4,55,16,88456,,
7736,998,838,1,2,17,89096,,
7737,998,845,3,35,18,89252,,
7738,998,840,3,18,19,,,
7739,998,843,5,28,20,,,
7740,999,20,6,5,1,72538,72505,71212
7741,999,822,131,77,2,72962,72152,71416
7742,999,8,6,7,3,72505,72336,71547
7743,999,830,9,33,4,73127,72188,71822
7744,999,825,210,20,5,73105,72523,72200
7745,999,154,210,8,6,72986,72722,72544
7746,999,807,4,27,7,73479,72946,72560
7747,999,832,4,55,8,73324,73032,72692
7748,999,844,15,16,9,73077,72995,72717
7749,999,815,10,11,10,73427,73072,72774
7750,999,4,1,14,11,73614,73657,
7751,999,845,3,35,12,73708,73702,
7752,999,828,15,9,13,73562,73736,
7753,999,1,131,44,14,73012,,
7754,999,817,9,3,15,73318,,
7755,999,839,10,31,16,73720,,
7756,999,842,5,10,17,73749,,
7757,999,843,5,28,18,74045,,
7758,999,840,3,18,19,74206,,
7759,999,838,1,2,20,74401,,
7760,1000,8,6,7,3,77526,92762,96186
7761,1000,20,6,5,4,76666,88636,96210
7762,1000,832,4,55,5,77829,90771,96743
7763,1000,842,5,10,6,78577,91286,97591
7764,1000,830,9,33,7,76940,91178,98032
